date,region,sales,product_id,quantity,discount,channel
2024-06-08,North,793.41,345,9,0.11,Retail
2024-06-26,West,288.47,372,10,0.18,Distributor
2024-06-20,East,816.65,304,3,0.08,Retail
2024-06-12,North,1101.73,324,3,0.17,Retail
2024-06-24,North,3874.64,312,9,0.06,Retail
2024-06-06,East,1038.01,340,6,0.23,Distributor
2024-06-02,South,1538.76,321,10,0.01,Online
2024-06-22,West,791.03,363,10,0.13,Retail
2024-06-17,North,673.72,345,7,0.03,Distributor
2024-06-16,East,1651.5,306,4,0.12,Distributor
2024-06-07,East,859.56,328,3,0.23,Retail
2024-06-01,West,1197.53,396,7,0.05,Retail
2024-06-08,East,2292.55,310,7,0.26,Online
2024-06-15,North,3729.61,341,10,0.13,Retail
2024-06-14,East,2857.49,315,7,0.01,Retail
2024-06-20,West,2773.75,389,6,0.03,Online
2024-06-19,West,405.04,368,2,0.12,Retail
2024-06-08,East,236.01,400,3,0.02,Distributor
2024-06-17,South,438.84,400,6,0.11,Distributor
2024-06-08,North,345.22,319,5,0.06,Distributor
2024-06-25,North,368.0,323,8,0.14,Distributor
2024-06-15,East,1308.35,381,6,0.05,Online
2024-06-21,East,2024.54,336,10,0.02,Distributor
2024-06-15,West,362.54,305,1,0.11,Retail
2024-06-28,North,2670.14,379,10,0.15,Retail
2024-06-26,North,3203.13,358,10,0.2,Retail
2024-06-17,South,941.77,308,8,0.03,Retail
2024-06-03,South,1486.83,306,4,0.21,Retail
2024-06-20,South,216.73,347,6,0.28,Retail
2024-06-11,North,1350.57,381,6,0.02,Online
2024-06-13,East,1552.55,333,10,0.26,Retail
2024-06-22,South,352.93,345,5,0.29,Distributor
2024-06-05,North,1801.14,340,9,0.11,Retail
2024-06-22,North,2540.05,383,7,0.15,Online
2024-06-06,South,259.52,344,8,0.06,Online
2024-06-10,North,1786.89,365,9,0.25,Distributor
2024-06-11,South,1096.91,377,7,0.05,Online
2024-06-25,South,3223.86,393,8,0.01,Retail
2024-06-08,West,1206.39,379,5,0.23,Retail
2024-06-08,East,1414.75,361,4,0.11,Distributor
2024-06-15,East,490.12,400,7,0.15,Retail
2024-06-27,South,84.68,378,3,0.26,Online
2024-06-28,East,369.65,371,2,0.21,Distributor
2024-06-10,North,1333.31,398,3,0.08,Distributor
2024-06-14,North,2762.99,329,8,0.27,Online
2024-06-13,East,1822.1,331,7,0.3,Retail
2024-06-11,North,1698.86,392,6,0.24,Online
2024-06-27,West,87.8,390,3,0.23,Retail
2024-06-01,North,1588.2,303,5,0.06,Online
2024-06-24,West,1915.04,315,5,0.07,Online
2024-06-14,West,27.05,309,2,0.25,Retail
2024-06-01,South,1020.99,392,3,0.09,Online
2024-06-08,West,741.92,324,2,0.16,Retail
2024-06-17,North,999.32,350,8,0.01,Retail
2024-06-09,North,856.14,346,2,0.1,Distributor
2024-06-04,East,187.46,318,1,0.11,Retail
2024-06-06,West,243.36,390,8,0.19,Online
2024-06-25,West,1940.73,305,5,0.06,Online
2024-06-11,East,1179.36,366,7,0.3,Distributor
2024-06-02,South,2117.1,337,6,0.26,Online
2024-06-11,East,2378.32,316,6,0.13,Retail
2024-06-13,East,2811.52,324,8,0.21,Retail
2024-06-17,East,1945.64,311,7,0.02,Distributor
2024-06-06,East,959.45,342,2,0.02,Distributor
2024-06-15,West,1774.08,322,8,0.11,Online
2024-06-12,West,201.94,336,1,0.02,Distributor
2024-06-17,South,665.12,304,3,0.25,Distributor
2024-06-02,South,52.18,309,4,0.23,Retail
2024-06-19,North,88.74,378,3,0.2,Retail
2024-06-25,North,866.59,374,3,0.16,Retail
2024-06-09,South,322.17,315,1,0.22,Retail
2024-06-18,North,218.34,334,5,0.21,Online
2024-06-10,West,440.26,326,2,0.04,Online
2024-06-23,West,2194.29,312,6,0.2,Distributor
2024-06-18,East,447.91,339,3,0.21,Distributor
2024-06-26,East,927.36,366,4,0.04,Online
2024-06-08,West,1465.59,304,6,0.17,Retail
2024-06-18,South,620.51,379,2,0.02,Retail
2024-06-24,West,1228.65,368,7,0.23,Distributor
2024-06-11,North,2557.95,358,8,0.2,Retail
2024-06-27,South,470.66,399,3,0.13,Online
2024-06-17,South,534.22,339,3,0.05,Distributor
2024-06-17,East,1327.37,311,5,0.06,Distributor
2024-06-21,East,2738.26,379,9,0.03,Distributor
2024-06-19,South,1939.41,322,10,0.22,Distributor
2024-06-19,North,585.54,304,2,0.01,Distributor
2024-06-09,South,1571.03,399,10,0.12,Distributor
2024-06-21,East,1835.72,383,5,0.14,Distributor
2024-06-15,North,453.02,389,1,0.05,Retail
2024-06-07,East,100.6,378,3,0.09,Distributor
2024-06-28,East,90.61,352,3,0.23,Distributor
2024-06-11,South,125.65,360,2,0.08,Online
2024-06-02,East,1095.59,350,10,0.13,Online
2024-06-19,East,183.65,325,3,0.15,Distributor
2024-06-10,West,486.02,303,2,0.28,Distributor
2024-06-08,South,2124.33,375,6,0.01,Retail
2024-06-27,West,4283.31,337,9,0.0,Online
2024-06-09,East,3013.07,398,7,0.11,Retail
2024-06-18,South,412.65,347,9,0.09,Retail
2024-06-25,East,1857.02,380,10,0.04,Online
